Call = 35, #Req = 3 # 3, #O = 0, #UG = 10, #C = 76, CT = 0.002195, FCI = 54, LAI = 1, SFI = 55, CI = 54, #Act = 3, Max PL = 1, 1
Call = 36, #Req = 3 # 3, #O = 0, #UG = 10, #C = 79, CT = 0.001836, FCI = 56, LAI = 1, SFI = 57, CI = 56, #Act = 3, Max PL = 1, 1
Call = 37, #Req = 3 # 3, #O = 0, #UG = 10, #C = 82, CT = 0.002043, FCI = 58, LAI = 1, SFI = 59, CI = 58, #Act = 3, Max PL = 1, 1
Call = 38, #Req = 3 # 3, #O = 0, #UG = 10, #C = 85, CT = 0.001601, FCI = 60, LAI = 1, SFI = 61, CI = 60, #Act = 3, Max PL = 1, 1
Call = 39, #Req = 3 # 3, #O = 0, #UG = 10, #C = 88, CT = 0.002104, FCI = 62, LAI = 1, SFI = 63, CI = 62, #Act = 3, Max PL = 1, 1
Call = 40, #Req = 3 # 3, #O = 0, #UG = 9, #C = 91, CT = 0.001922, FCI = 64, LAI = 1, SFI = 65, CI = 64, #Act = 3, Max PL = 1, 1
Call = 41, #Req = 3 # 3, #O = 0, #UG = 6, #C = 94, CT = 0.001949, FCI = 66, LAI = 1, SFI = 67, CI = 66, #Act = 1, Max PL = 1, 1
Call = 42, #Req = 2 # 2, #O = 0, #UG = 5, #C = 94, CT = 0.001879, FCI = 66, LAI = 1, SFI = 67, CI = 66, #Act = 0, Max PL = 0, 1
Call = 43, #Req = 3 # 2, #O = 0, #UG = 5, #C = 95, CT = 0.002231, FCI = 68, LAI = 1, SFI = 69, CI = 68, #Act = 1, Max PL = 1, 1
Call = 44, #Req = 2 # 2, #O = 0, #UG = 4, #C = 95, CT = 0.002469, FCI = 68, LAI = 1, SFI = 69, CI = 68, #Act = 0, Max PL = 0, 1
Call = 45, #Req = 3 # 2, #O = 0, #UG = 4, #C = 96, CT = 0.002083, FCI = 70, LAI = 1, SFI = 71, CI = 70, #Act = 1, Max PL = 1, 1
Call = 46, #Req = 2 # 2, #O = 0, #UG = 3, #C = 96, CT = 0.002035, FCI = 70, LAI = 1, SFI = 71, CI = 70, #Act = 0, Max PL = 0, 1
Call = 47, #Req = 3 # 2, #O = 0, #UG = 3, #C = 97, CT = 0.002405, FCI = 72, LAI = 1, SFI = 73, CI = 72, #Act = 2, Max PL = 6, 1
Call = 48, #Req = 1 # 1, #O = 0, #UG = 1, #C = 97, CT = 0.001878, FCI = 72, LAI = 1, SFI = 73, CI = 72, #Act = 1, Max PL = 6, 1
